Id,plot_Id,crop_Id,D05_times,D_curr_crop,D_repeat_times_count
1,1,1,1,maize,1
1,2,1,1,maize,1
2,1,1,1,maize,1
2,2,1,1,tomatoes,1
2,3,1,1,vegetable,1
3,1,1,1,maize,1
4,1,1,1,maize,1
4,2,1,1,maize,1
4,3,1,1,sorghum,1
5,1,1,1,maize,1
5,2,1,1,maize,1
6,1,1,1,maize,1
7,1,1,1,maize,1
7,2,1,1,tomatoes,1
7,3,1,1,beans,1
7,4,1,1,vegetable,1
8,1,1,1,maize,1
8,2,1,1,maize,1
9,1,1,1,maize,1
9,2,1,1,tomatoes,1
9,3,1,1,vegetable,1
10,1,1,1,maize,1
10,2,1,1,tomatoes,1
11,1,1,1,maize,1
11,2,1,1,maize,1
12,1,1,0,maize,0
12,2,1,1,tomatoes,1
13,1,1,1,maize,1
13,2,1,1,beans,1
13,3,1,1,vegetable,1
13,4,1,1,onion,1
14,1,1,1,maize,1
14,2,1,1,maize,1
14,3,1,1,maize,1
15,1,1,1,maize,1
15,2,1,1,beans,1
15,3,1,1,ngogwe,1
16,1,1,1,maize,1
17,1,1,1,maize,1
17,2,1,1,vegetable,1
17,3,1,1,other,1
18,1,1,1,maize,1
18,2,1,1,pigeonpeas,1
19,1,1,1,maize,1
19,2,1,1,beans,1
20,1,1,1,maize,1
20,2,1,1,beans,1
21,1,1,1,maize,1
21,2,1,1,vegetable,1
21,3,1,1,tomatoes,1
21,4,1,1,cabbage,1
22,1,1,1,maize,1
23,1,1,1,maize,1
23,2,1,1,amendoim,1
24,1,1,1,maize,1
24,2,1,1,tomatoes,1
24,3,1,1,peanut,1
25,1,1,1,maize,1
25,2,1,1,tomatoes,1
25,3,1,1,cabbage,1
26,1,1,1,maize,1
26,2,1,1,beans,1
27,1,1,1,maize,1
27,2,1,1,beans,1
28,1,1,1,maize,1
28,2,1,1,tomatoes,1
28,3,1,1,vegetable,1
29,1,1,1,maize,1
29,2,1,1,tomatoes,1
29,3,1,1,beans,1
30,1,1,1,maize,1
31,1,1,1,maize,1
32,1,1,1,maize,1
32,2,1,1,sorghum,1
32,3,1,1,sunflower,1
32,4,1,1,peanut,1
32,5,1,1,tomatoes,1
32,6,1,1,onion,1
32,7,1,1,cabbage,1
32,8,1,1,vegetable,1
33,1,1,1,maize,1
33,2,1,1,tomatoes,1
34,1,1,1,tomatoes,1
34,2,1,1,maize,1
35,1,1,1,tomatoes,1
35,2,1,1,maize,1
36,1,1,1,maize,1
36,2,1,1,tomatoes,1
