Id,plot_Id,D01_curr_plot,D02_total_plot,D03_unit_land,D03_unit_land_other,D04_crops_harvsted,D04_crops_harvsted_other,D_crops_count
1,1,1.0,0.5,hactare,,['maize'],,1
1,2,2.0,0.5,hactare,,['maize'],,1
2,1,3.0,1.0,hactare,,['maize'],,1
2,2,2.0,1.5,hactare,,['tomatoes'],,1
2,3,3.0,1.0,hactare,,['vegetable'],,1
3,1,1.0,1.0,hactare,,['maize'],,1
4,1,1.0,1.0,hactare,,['maize'],,1
4,2,2.0,1.0,hactare,,['maize'],,1
4,3,3.0,1.0,hactare,,['sorghum'],,1
5,1,1.0,1.5,hactare,,['maize'],,1
5,2,2.0,0.5,hactare,,['maize'],,1
6,1,1.0,1.5,hactare,,['maize'],,1
7,1,1.0,2.0,hactare,,['maize'],,1
7,2,2.0,1.0,hactare,,['tomatoes'],,1
7,3,3.0,1.0,hactare,,['beans'],,1
7,4,4.0,1.0,hactare,,['vegetable'],,1
8,1,1.0,1.0,hactare,,['maize'],,1
8,2,2.0,2.0,hactare,,['maize'],,1
9,1,1.0,1.5,hactare,,['maize'],,1
9,2,2.0,1.0,hactare,,['tomatoes'],,1
9,3,3.0,1.0,hactare,,['vegetable'],,1
10,1,1.0,3.0,hactare,,['maize'],,1
10,2,2.0,1.5,hactare,,['tomatoes'],,1
11,1,1.0,1.0,hactare,,['maize'],,1
11,2,2.0,1.0,hactare,,['maize'],,1
12,1,2.0,3.5,hactare,,['maize'],,1
12,2,2.0,1.5,hactare,,['tomatoes'],,1
13,1,1.0,12.0,hactare,,['maize'],,1
13,2,2.0,1.0,hactare,,['beans'],,1
13,3,3.0,1.0,hactare,,['vegetable'],,1
13,4,4.0,1.0,hactare,,['onion'],,1
14,1,1.0,1.0,hactare,,['maize'],,1
14,2,2.0,1.0,hactare,,['maize'],,1
14,3,3.0,1.0,hactare,,['maize'],,1
15,1,1.0,15.0,hactare,,['maize'],,1
15,2,2.0,1.0,hactare,,['beans'],,1
15,3,3.0,0.5,hactare,,['ngogwe'],,1
16,1,1.0,3.5,hactare,,['maize'],,1
17,1,3.0,1.0,hactare,,['maize'],,1
17,2,2.0,0.3,hactare,,['vegetable'],,1
17,3,3.0,0.3,hactare,,['other'],Inhame,1
18,1,1.0,1.0,hactare,,['maize'],,1
18,2,2.0,0.5,hactare,,['pigeonpeas'],,1
19,1,1.0,5.5,hactare,,['maize'],,1
19,2,2.0,1.0,hactare,,['beans'],,1
20,1,1.0,1.5,hactare,,['maize'],,1
20,2,2.0,0.5,hactare,,['beans'],,1
21,1,1.0,1.0,hactare,,['maize'],,1
21,2,2.0,1.0,hactare,,['vegetable'],,1
21,3,3.0,1.0,hactare,,['tomatoes'],,1
21,4,4.0,1.0,hactare,,['cabbage'],,1
22,1,1.0,3.0,hactare,,['maize'],,1
23,1,1.0,10.0,hactare,,['maize'],,1
23,2,2.0,1.0,hactare,,['amendoim'],,1
24,1,1.0,2.0,hactare,,['maize'],,1
24,2,2.0,2.0,hactare,,['tomatoes'],,1
24,3,3.0,0.5,hactare,,['peanut'],,1
25,1,1.0,6.0,hactare,,['maize'],,1
25,2,2.0,1.0,hactare,,['tomatoes'],,1
25,3,3.0,1.0,hactare,,['cabbage'],,1
26,1,1.0,5.0,hactare,,['maize'],,1
26,2,2.0,1.0,hactare,,['beans'],,1
27,1,1.0,4.0,hactare,,['maize'],,1
27,2,2.0,1.0,hactare,,['beans'],,1
28,1,1.0,1.0,hactare,,['maize'],,1
28,2,2.0,0.5,hactare,,['tomatoes'],,1
28,3,3.0,0.5,hactare,,['vegetable'],,1
29,1,1.0,1.5,hactare,,['maize'],,1
29,2,2.0,0.2,hactare,,['tomatoes'],,1
29,3,3.0,0.5,hactare,,['beans'],,1
30,1,1.0,5.0,hactare,,['maize'],,1
31,1,1.0,1.0,hactare,,['maize'],,1
32,1,1.0,10.0,hactare,,['maize'],,1
32,2,2.0,3.0,hactare,,['sorghum'],,1
32,3,3.0,0.5,hactare,,['sunflower'],,1
32,4,4.0,1.0,hactare,,['peanut'],,1
32,5,5.0,0.5,hactare,,['tomatoes'],,1
32,6,6.0,0.3,hactare,,['onion'],,1
